CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41434872,SAL & PAUL'S PIZZERIA,Brooklyn,1686,PITKIN AVENUE,11212,7189220550,Pizza,05/15/2018,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site.",N,,,,10/07/2019,Trans Fat / Initial Inspection,40.669622459638,-73.911054900301,316,41,092400,3081050,3035210040,BK81
50000880,PARKER & QUINN,Manhattan,63,WEST 38TH STREET,10018,2127290277,American,06/18/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,06/18/2019,10/07/2019,Cycle Inspection / Re-inspection,40.751765717808,-73.984628109205,105,04,008400,1015989,1008400006,MN17
41495866,SUBWAY,Bronx,1024,LONGWOOD AVENUE,10459,7183787040,Sandwiches,08/12/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,15,,,10/07/2019,Cycle Inspection / Initial Inspection,40.816438579599,-73.896446482159,202,08,008500,2005731,2027200073,BX33
50085343,Giovani’s Big Pizza,Bronx,839A,PROSPECT AVE,10459,7188611530,Pizza,07/12/2019,Violations were cited in the following area(s).,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",N,,,,10/07/2019,Administrative Miscellaneous / Initial Inspection,40.820060569313,-73.901466497603,201,17,007700,2116639,2026770026,BX34
50078229,JOE & THE JUICE,Manhattan,1320,3RD AVE,10021,9175665727,"Juice, Smoothies, Fruit Salads",07/22/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,20,,,10/07/2019,Cycle Inspection / Initial Inspection,40.772054138636,-73.958924749419,108,04,012800,1043149,1014100033,MN40
50004654,BAVARIA BIERHOUSE/THE CAULDRON,Manhattan,19,S WILLIAM ST,10004,2124808142,German,05/31/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,26,B,05/31/2019,10/07/2019,Cycle Inspection / Re-inspection,40.704534321201,-74.01067945422,101,01,000900,1000846,1000290048,MN25
50058012,HARMONI,Manhattan,151,NAGLE AVE,10040,9174859305,Spanish,09/25/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,12,A,09/25/2018,10/07/2019,Cycle Inspection / Re-inspection,40.861112835535,-73.926032395724,112,10,028300,1082762,1021730029,MN35
40905068,NO 32,Manhattan,32,EAST    2 STREET,10003,2122534922,American,08/09/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,32,,,10/07/2019,Cycle Inspection / Initial Inspection,40.725136685138,-73.990828910009,103,02,003602,1006553,1004580032,MN22
40379026,FLAMINGO,Queens,8512,ROOSEVELT AVENUE,11372,7186061633,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/31/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,01/31/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.747933648158,-73.880915291092,404,21,026901,4037051,4015020003,QN29
50016679,NORTHERN SUSHI,Queens,15314,NORTHERN BLVD,11354,7188864123,Japanese,03/26/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,03/26/2019,10/07/2019,Cycle Inspection / Initial Inspection,40.764811849616,-73.811717632112,407,20,115500,4309867,4052660019,QN51
50077270,NY GO GO FAST FOOD,Queens,13546,ROOSEVELT AVE,11354,6462553366,Chinese,12/29/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,15,,,10/07/2019,Cycle Inspection / Initial Inspection,40.759231650276,-73.831056115714,407,20,087100,4114119,4050360036,QN22
50079366,MARINARA  PIZZA,Manhattan,985,1ST AVE,10022,9172612147,Pizza,03/01/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,21,,,10/07/2019,Cycle Inspection / Initial Inspection,40.756473936366,-73.964265667901,106,05,010800,1076279,1013470023,MN19
50045161,JUNIOR'S PIZZA & FRIED CHICKEN,Brooklyn,203,NEPTUNE AVE,11235,7186760770,Chicken,09/03/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,26,,,10/07/2019,Cycle Inspection / Initial Inspection,40.58178150752,-73.96078824756,313,48,036600,3196515,3072640020,BK19
50043221,CHARTER COFFEE AND CUTS,Brooklyn,309,GRAHAM AVE,11211,3477213735,Café/Coffee/Tea,02/14/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,02/14/2019,10/07/2019,Cycle Inspection / Initial Inspection,40.713370384647,-73.944207662692,301,34,049500,3069055,3027700029,BK90
50084100,CASA CONTE,Brooklyn,257,COLUMBIA ST,11231,3477254772,Italian,01/26/2019,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,13,A,01/26/2019,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.683347864432,-74.003497388273,306,39,005100,3004689,3003480005,BK33
50085676,MOHAMMODIA RESTAURANT & BAKERY,Brooklyn,1075A,LIBERTY AVE,11208,9292533115,Bangladeshi,08/05/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,29,,,10/07/2019,Cycle Inspection / Initial Inspection,40.678346807646,-73.869546373377,305,37,119000,3093581,3041710129,BK83
50048257,PATE PALO,Manhattan,251,DYCKMAN ST,10034,6469186242,Spanish,06/20/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,30,,,10/07/2019,Cycle Inspection / Initial Inspection,40.866428089872,-73.928333163048,112,10,029500,1065062,1022470056,MN01
41155536,38 DELI,Brooklyn,968,58 STREET,11219,7187903143,Chinese,12/05/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,10,A,12/05/2016,10/07/2019,Cycle Inspection / Re-inspection,40.634501731816,-74.004863922607,312,38,011600,3140586,3057010034,BK88
50042805,ITALIANA CREMOSA PIZZERIA & RESTAURANT,Queens,11011,101ST AVE,11419,7184411137,Italian,08/02/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,20,,,10/07/2019,Cycle Inspection / Initial Inspection,40.687851807882,-73.83340475498,409,28,011800,4197955,4094120047,QN54
41692932,GOURMET 45,Manhattan,721,3 AVENUE,10017,2126826220,Delicatessen,01/17/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,01/17/2017,10/07/2019,Cycle Inspection / Re-inspection,40.752776379499,-73.972966138331,106,04,009000,1037582,1013190001,MN19
41062874,DALLAS BBQ,Brooklyn,180,LIVINGSTON STREET,11201,7186435700,Barbecue,01/03/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,01/03/2017,10/07/2019,Cycle Inspection / Initial Inspection,40.690044411028,-73.98683839769,302,33,003700,3000484,3001647501,BK38
50054551,"BURGER KING, POPEYES",Bronx,217,E FORDHAM RD,10458,3473446815,Hamburgers,05/07/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,,,10/07/2019,Cycle Inspection / Initial Inspection,40.862358037522,-73.896428934495,207,15,039901,2088404,2031540045,BX05
50036814,PIPO'S RESTAURANT,Manhattan,166,E 118TH ST,10035,2128282382,Mexican,08/09/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,31,,,10/07/2019,Cycle Inspection / Initial Inspection,40.799528877169,-73.939739522863,111,08,018200,1052355,1016450044,MN34
50002897,TASTE GOOD RESTAURANT,Manhattan,18,WEST 25TH STREET,10010,2127413223,Chinese,03/26/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,A,03/26/2019,10/07/2019,Cycle Inspection / Re-inspection,40.743326160046,-73.989884496208,105,03,005800,1015605,1008260055,MN13
50057858,MEXICO 2000,Brooklyn,369,BROADWAY,11211,7184070109,Mexican,12/29/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,38,,,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.707427226904,-73.955040458707,301,34,052700,3063613,3024630038,BK73
50010894,SU KHUM VIT 51,Manhattan,224,E 51ST ST,10022,2128888894,Thai,01/11/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,01/11/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.756135122547,-73.969597096963,106,04,009800,1038451,1013240039,MN19
50042177,ABDULLAH SWEETS AND RESTAURANT,Brooklyn,91,CHURCH AVE,11218,7187665381,Bangladeshi,10/04/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,49,,,10/07/2019,Cycle Inspection / Compliance Inspection,40.642619130984,-73.979868107789,312,39,049600,3124487,3053320066,BK41
50045072,EL VALLE RESTAURANTE,Bronx,3452,BOSTON RD,10469,7186551771,Spanish,07/11/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,17,B,07/11/2019,10/07/2019,Cycle Inspection / Re-inspection,40.876316747524,-73.848530429465,212,12,036400,2060739,2047370105,BX03
41476586,LUCKY 11 BAKERY,Brooklyn,6322,11 AVENUE,11219,7188338289,Bakery,03/09/2017,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,5,A,03/09/2017,10/07/2019,Cycle Inspection / Initial Inspection,40.629629740487,-74.004906797866,310,38,021200,3141749,3057370046,BK30
50002486,UN NUEVO PRICIPIO,Queens,680,SENECA AVE,11385,6469124515,"Juice, Smoothies, Fruit Salads",09/19/2016,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,7,A,09/19/2016,10/07/2019,Cycle Inspection / Initial Inspection,40.703111986989,-73.908232940658,405,34,054900,4082504,4034530031,QN20
41203533,GREAT TASTE BAKERY,Manhattan,3335,CATHERINE STREET,,6466424110,Bakery,03/09/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,26,,,10/07/2019,Cycle Inspection / Initial Inspection,0,0,,,,,1,
50010873,MASALA BOX,Queens,4202,BELL BLVD,11361,7182812699,Indian,07/25/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,24,,,10/07/2019,Cycle Inspection / Initial Inspection,40.762466768059,-73.770431043491,411,19,146700,4138216,4062840026,QN46
40392721,NUEVA VILLA CHINA RESTAURANT,Queens,3910,103 STREET,11368,7184761527,Chinese,07/18/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,20,B,07/18/2018,10/07/2019,Cycle Inspection / Re-inspection,40.750482783146,-73.863023489686,403,21,040700,4044366,4017700035,QN26
50045201,CHECKERS,Queens,12221,MERRICK BLVD,11434,7187122420,American,08/16/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,16,,,10/07/2019,Cycle Inspection / Initial Inspection,40.683590806298,-73.769398412222,412,27,036800,4269742,4124800032,QN08
50001484,TOYAMA CUISINE,Brooklyn,6001,7TH AVE,11220,7185678877,Japanese,03/20/2019,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,45,,,10/07/2019,Cycle Inspection / Initial Inspection,40.636724496523,-74.011843146845,307,38,011800,3143588,3057850009,BK34
50006474,GOLDEN EAGLE DINER,Bronx,2107,WILLIAMSBRIDGE RD,10461,3478515318,American,04/09/2019,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,N,,,,10/07/2019,Administrative Miscellaneous / Initial Inspection,40.855715532889,-73.855503752691,211,13,024800,2049706,2043320024,BX49
41184016,CHEN DU TIAN FU,Queens,4128,MAIN STREET,11355,3475569396,Chinese,05/14/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,22,,,10/07/2019,Cycle Inspection / Initial Inspection,40.757348554116,-73.829075639723,407,20,084900,4312192,4050420035,QN22
41036247,DUNKIN',Staten Island,680,ARTHUR KILL ROAD,10308,7189480600,Donuts,11/27/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,11,A,11/27/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.560241951935,-74.164112871653,503,51,014607,5073068,5054940055,SI54
50051981,FIVESTUY CAFE,Manhattan,5,STUYVESANT OVAL,10009,347971056_,Sandwiches,11/26/2016,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot food item not held at or above 140º F.,Y,42,,,10/07/2019,Cycle Inspection / Initial Inspection,40.732076617604,-73.97886676224,106,04,004400,1082882,1009720001,MN50
50071662,BIG AL'S CHICAGO STYLE PIZZA,Staten Island,4069,HYLAN BLVD,10308,7183568446,Pizza/Italian,08/09/2018,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,22,B,08/09/2018,10/07/2019,Cycle Inspection / Re-inspection,40.54062015968,-74.147435327536,503,51,015601,5067577,5052760042,SI54
41515470,NARUTO RAMEN,Brooklyn,276,5 AVENUE,11215,7188321111,Japanese,01/29/2018,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,16,B,01/29/2018,10/07/2019,Cycle Inspection / Re-inspection,40.674299729901,-73.982035966568,306,39,013300,3020594,3009640041,BK37
40988528,LA STRADA PIZZERIA RESTAURANT,Brooklyn,5023,10 AVENUE,11219,7186868057,Pizza/Italian,09/03/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,21,,,10/07/2019,Cycle Inspection / Initial Inspection,40.638270419876,-73.999477549065,312,44,011400,3137927,3056460001,BK88
41514254,ELIM DELI CAFE,Manhattan,851,LEXINGTON AVENUE,10065,2124398320,Delicatessen,09/10/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,32,C,09/10/2018,10/07/2019,Cycle Inspection / Re-inspection,40.765622651071,-73.96569031079,108,04,012000,1042356,1013990020,MN40
50067033,SUBWAY,Bronx,2052,JEROME AVE,10453,7182206319,Sandwiches/Salads/Mixed Buffet,09/21/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,10,A,09/21/2017,10/07/2019,Pre-permit (Operational) / Re-inspection,40.854127418116,-73.907033312823,205,14,024100,2013958,2031790002,BX41
40553443,DISTILLED NYC,Manhattan,211,WEST BROADWAY,10013,2124310700,American,06/25/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,11,A,06/25/2019,10/07/2019,Cycle Inspection / Re-inspection,40.718933692611,-74.006522337337,101,01,003300,1079278,1001787502,MN24
50043343,NOGLU NEW YORK,Manhattan,1266,MADISON AVE,10128,2127722011,French,08/21/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,9,A,08/21/2017,10/07/2019,Cycle Inspection / Re-inspection,40.783759699676,-73.956703949001,108,04,015002,1046983,1015020017,MN40
41464273,NO. 1 CHINA GARDEN KITCHEN,Bronx,1349,EDWARD L GRANT HIGHWAY,10452,7182935056,Chinese,03/28/2019,Violations were cited in the following area(s).,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",N,,,,10/07/2019,Administrative Miscellaneous / Initial Inspection,40.840137243121,-73.921393635834,204,16,021100,2003332,2025200001,BX26
50014374,LA CASA del MARISCO,Bronx,1862,WEBSTER AVE,10457,9173190316,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",03/25/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,18,,,10/07/2019,Cycle Inspection / Initial Inspection,40.847011044743,-73.901317988675,206,15,023100,2094556,2029000051,BX41
41234126,MAX RESTAURANT,Manhattan,181,DUANE STREET,10013,2129665939,Italian,04/17/2017,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,25,,,10/07/2019,Cycle Inspection / Initial Inspection,40.71740459083,-74.010176487777,101,01,003900,1001547,1001430013,MN24
50042840,DUNKIN' DONUTS,Manhattan,105,W 125TH ST,10027,6468927695,Donuts,08/07/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,18,,,10/07/2019,Cycle Inspection / Initial Inspection,40.807939090514,-73.945865617023,110,09,022200,1085673,1019107501,MN11
41711578,MR. SIMI #8 KITCHEN,Brooklyn,1658,BATH AVENUE,11214,7182327539,Chinese,05/22/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,05/22/2017,10/07/2019,Cycle Inspection / Initial Inspection,40.605557733268,-74.008960128029,311,43,017400,3168516,3064320038,BK27
50002532,KENNEDY FRIED CHICKEN,Bronx,2280,JEROME AVENUE,10453,7187085125,Chicken,07/25/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,38,,,10/07/2019,Cycle Inspection / Initial Inspection,40.858648003047,-73.903711925351,205,14,023900,2014064,2031860059,BX40
50056005,SANTA PANZA,Brooklyn,1079,BROADWAY,11221,3474139695,Italian,05/09/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12,A,05/09/2018,10/07/2019,Cycle Inspection / Initial Inspection,40.694506523398,-73.930844649318,304,34,039300,3073443,3032290047,BK78
41654607,BROOKLYN CRAB,Brooklyn,24,REED ST,11231,7186432722,Seafood,11/17/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,61,,,10/07/2019,Cycle Inspection / Initial Inspection,40.675175494846,-74.016767373225,306,38,005300,3414140,3006100014,BK33
50057954,MEGA BITES,Brooklyn,245,DEKALB AVE,11205,7183988112,American,03/01/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,17,,,10/07/2019,Cycle Inspection / Initial Inspection,40.689481153675,-73.969418464523,302,35,018300,3058586,3020920065,BK68
50083583,TIERRA Y MAR RESTAURANT,Manhattan,4221,BROADWAY,10033,6469340128,Spanish,10/26/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,60,,,10/07/2019,Pre-permit (Operational) / Initial Inspection,40.849028811692,-73.936976348703,112,10,026500,1064270,1021760054,MN36
50069068,ATOMIC WINGS,Manhattan,184,1ST AVE,10009,2127749464,American,09/19/2018,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,P,09/19/2018,10/07/2019,Cycle Inspection / Reopening Inspection,40.729519309266,-73.983871959502,103,02,003400,1005966,1004390002,MN22
50079769,TBAAR,Manhattan,36,W 36TH ST,10018,6469829639,"Juice, Smoothies, Fruit Salads",03/05/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,03/05/2019,10/07/2019,Cycle Inspection / Initial Inspection,40.750470296272,-73.985436870502,105,04,008400,1015906,1008370066,MN17
41359575,VANILLA CAFE,Queens,8701,ROOSEVELT AVENUE,11372,7185070807,Bakery,04/17/2017,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,N,18,,,10/07/2019,Cycle Inspection / Initial Inspection,40.748137663607,-73.879153694744,403,21,027900,4036273,4014750042,QN28
41026945,NEW DAWN RESTAURANT,Queens,4021,22 STREET,11101,7187865673,American,07/26/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,,,10/07/2019,Cycle Inspection / Initial Inspection,40.754339670853,-73.940578240724,401,26,003300,4004955,4004090016,QN68
50001270,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,1706,ATLANTIC AVE,11213,7187738200,Caribbean,12/19/2017,Violations were cited in the following area(s).,16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.",N,,,,10/07/2019,Calorie Posting / Initial Inspection,40.677611694932,-73.93425477144,308,36,030900,3393250,3013350028,BK61
